Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000272469695598087,-1.03862192346152E-05,0.021281892746405,0,0,0,11.6672712209699,0.199398893947739,2.72667884231426E-08,-2.846578037682E-05,0.192550091620116,-1.96009072085843E-07,0.369355801657632,0,0,0,0,0,0,package://CRAB_Model_Assembly3/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://CRAB_Model_Assembly3/meshes/base_link.STL,,Crab_Shell_v01-1;Post_1-1;Post_2-1;Post_3-1;Post_3-2;Crab_Belly_v01-1;Camera_Lense_Assembly-1;Camera_Lense_Assembly-2;Camera_Lense_Assembly-4;Camera_Lense_Assembly-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm1_link1,0.0417122714917704,0.0181017342185698,0.0209586636823971,0,0,0,0.935223157536645,0.00115532605987601,-0.000265241615993485,-0.000334143346955592,0.00129069814561316,-0.0002690545454674,0.00107448935964866,0,0,0,0,0,0,package://CRAB_Model_Assembly3/meshes/arm1_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CRAB_Model_Assembly3/meshes/arm1_link1.STL,,300_250_200_150_Arm_Assembly_Stowed-1/Pitch_300_300_Assembly-2;300_250_200_150_Arm_Assembly_Stowed-1/Pitch_300_300_Assembly-2/Pitch_Half_300_300-1;300_250_200_150_Arm_Assembly_Stowed-1/Pitch_300_300_Assembly-2/Bushing1-2;300_250_200_150_Arm_Assembly_Stowed-1/Pitch_300_300_Assembly-2/Bushing1-3,arm1_mount,j1_axis <300_250_200_150_Arm_Assembly_Stowed-1>,arm1_j1,revolute,0.127,-0.1778,0,1.5707963267949,0,0,base_link,1,0,0,10,10,-3.14,3.14,,,,,,,,
arm1_link2,0.0109719288802939,-0.0206328931107901,-0.0100112184839926,0,0,0,0.792615281561028,0.000766574618531907,-0.00017791513660175,0.000200979427837307,0.000922189710707791,0.000157045527656656,0.000788376809197517,0,0,0,0,0,0,package://CRAB_Model_Assembly3/meshes/arm1_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CRAB_Model_Assembly3/meshes/arm1_link2.STL,,300_250_200_150_Arm_Assembly_Stowed-1/Pitch_300_250_Assembly-2;300_250_200_150_Arm_Assembly_Stowed-1/Pitch_300_250_Assembly-2/Pitch_Half_300_250-1;300_250_200_150_Arm_Assembly_Stowed-1/Pitch_300_250_Assembly-2/Bushing1-1;300_250_200_150_Arm_Assembly_Stowed-1/Pitch_300_250_Assembly-2/Bushing1-2,a1_j2,j2_axis <300_250_200_150_Arm_Assembly_Stowed-1>,arm1_j2,revolute,0.057944,0.00079375,0.0381,0,0,0,arm1_link1,0,1,0,10,10,-3.14,0.174,,,,,,,,
arm1_link3,0.054914421863053,0.00846459066691615,0.00980732203635193,0,0,0,0.914578646343626,0.000652366478401665,-8.91945013993138E-05,-0.000121260357947482,0.000661368306540173,-0.000103242749716624,0.000552144031129009,0,0,0,0,0,0,package://CRAB_Model_Assembly3/meshes/arm1_link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CRAB_Model_Assembly3/meshes/arm1_link3.STL,,300_250_200_150_Arm_Assembly_Stowed-1/Link_250_Assembly-1;300_250_200_150_Arm_Assembly_Stowed-1/Pitch_250_250_Assembly-1;300_250_200_150_Arm_Assembly_Stowed-1/Link_250_Assembly-1/Bushing1-1;300_250_200_150_Arm_Assembly_Stowed-1/Link_250_Assembly-1/Link_250-2;300_250_200_150_Arm_Assembly_Stowed-1/Pitch_250_250_Assembly-1/Pitch_Half_250_250-1;300_250_200_150_Arm_Assembly_Stowed-1/Pitch_250_250_Assembly-1/Bushing1-1;300_250_200_150_Arm_Assembly_Stowed-1/Pitch_250_250_Assembly-1/Bushing1-2,a1_j3,j3_axis <300_250_200_150_Arm_Assembly_Stowed-1>,arm1_j3,revolute,0.0547687500000001,0.000793750000000008,-0.03175,0,0,0,arm1_link2,1,0,0,10,10,-3.14,3.14,,,,,,,,
arm1_link4,0.00793319489230676,-0.0168019330034655,-0.0104021954185999,0,0,0,0.441334804948817,0.000330987237092191,-5.77148721763467E-05,7.97740094389333E-05,0.00037306172461715,7.31146265413007E-05,0.000278861245063848,0,0,0,0,0,0,package://CRAB_Model_Assembly3/meshes/arm1_link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CRAB_Model_Assembly3/meshes/arm1_link4.STL,,300_250_200_150_Arm_Assembly_Stowed-1/Pitch_250_200_Assembly-1;300_250_200_150_Arm_Assembly_Stowed-1/Pitch_250_200_Assembly-1/Pitch_Half_250_200-1;300_250_200_150_Arm_Assembly_Stowed-1/Pitch_250_200_Assembly-1/Bushing1-1;300_250_200_150_Arm_Assembly_Stowed-1/Pitch_250_200_Assembly-1/Bushing1-2,a1_j4,j4_axis <300_250_200_150_Arm_Assembly_Stowed-1>,arm1_j4,revolute,0.090483750066,0.000793749999999904,0.03175,0,0,0,arm1_link3,0,1,0,10,10,-3.14,0.174,,,,,,,,
arm1_link5,0.0587190828697851,0.00497988704094035,0.00595239165552472,0,0,0,0.632159217766391,0.000255550709127593,-2.20834314160477E-05,-3.22005035262904E-05,0.000357754030193975,-2.85826511799778E-05,0.000322487907688684,0,0,0,0,0,0,package://CRAB_Model_Assembly3/meshes/arm1_link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CRAB_Model_Assembly3/meshes/arm1_link5.STL,,300_250_200_150_Arm_Assembly_Stowed-1/Link_200_Assembly-1;300_250_200_150_Arm_Assembly_Stowed-1/Pitch_200_200_Assembly-1;300_250_200_150_Arm_Assembly_Stowed-1/Link_200_Assembly-1/Bushing1-1;300_250_200_150_Arm_Assembly_Stowed-1/Link_200_Assembly-1/Link_200-2;300_250_200_150_Arm_Assembly_Stowed-1/Pitch_200_200_Assembly-1/Pitch_Half_200_200-1;300_250_200_150_Arm_Assembly_Stowed-1/Pitch_200_200_Assembly-1/Bushing1-1;300_250_200_150_Arm_Assembly_Stowed-1/Pitch_200_200_Assembly-1/Bushing1-2,a1_j5,j5_axis <300_250_200_150_Arm_Assembly_Stowed-1>,arm1_j5,revolute,0.0420687499999999,0.000793750000000015,-0.03175,0,0,0,arm1_link4,1,0,0,10,10,-3.14,3.14,,,,,,,,
arm1_link6,0.00638458341607068,-0.0112857089393426,-0.00502203392889519,0,0,0,0.174644981988622,5.86369696509805E-05,-1.21885255932662E-05,1.68481377921105E-05,8.2783177399353E-05,9.5363078795926E-06,6.25905937971474E-05,0,0,0,0,0,0,package://CRAB_Model_Assembly3/meshes/arm1_link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CRAB_Model_Assembly3/meshes/arm1_link6.STL,,300_250_200_150_Arm_Assembly_Stowed-1/Pitch_200_150_Assembly-1;300_250_200_150_Arm_Assembly_Stowed-1/Pitch_200_150_Assembly-1/Pitch_Half_200_150-1;300_250_200_150_Arm_Assembly_Stowed-1/Pitch_200_150_Assembly-1/Bushing1-3;300_250_200_150_Arm_Assembly_Stowed-1/Pitch_200_150_Assembly-1/Bushing1-4,a1_j6,j6_axis <300_250_200_150_Arm_Assembly_Stowed-1>,arm1_j6,revolute,0.10239,0.00079375,0.0254,0,0,0,arm1_link5,0,1,0,10,10,-3.14,0.174,,,,,,,,
arm1_link7,0.00674741503469944,-1.30104260698261E-17,2.77555756156289E-17,0,0,0,0.0367655989629361,5.86549931456883E-06,-4.81535550003341E-21,1.20922560306977E-21,3.23271382425077E-06,4.37524394781471E-22,3.23271382425077E-06,0,0,0,0,0,0,package://CRAB_Model_Assembly3/meshes/arm1_link7.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CRAB_Model_Assembly3/meshes/arm1_link7.STL,,300_250_200_150_Arm_Assembly_Stowed-1/EE_150_Assembly-1;300_250_200_150_Arm_Assembly_Stowed-1/EE_150_Assembly-1/Bushing1-1;300_250_200_150_Arm_Assembly_Stowed-1/EE_150_Assembly-1/Bushing1-2;300_250_200_150_Arm_Assembly_Stowed-1/EE_150_Assembly-1/End_effector_150-2,a1_j7,j7_axis <300_250_200_150_Arm_Assembly_Stowed-1>,arm1_j7,revolute,0.0357187500000001,0.000793749999999943,-0.01905,0,0,0,arm1_link6,1,0,0,10,10,-3.14,3.14,,,,,,,,
arm2_link1,0.0417122714917704,-0.0181017342185698,-0.0209586636823972,0,0,0,0.935223157536645,0.00115532605987601,0.000265241615993487,0.000334143346955592,0.00129069814561315,-0.0002690545454674,0.00107448935964865,0,0,0,0,0,0,package://CRAB_Model_Assembly3/meshes/arm2_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CRAB_Model_Assembly3/meshes/arm2_link1.STL,,300_250_200_150_Arm_Assembly_Stowed-2/Pitch_300_300_Assembly-2;300_250_200_150_Arm_Assembly_Stowed-2/Pitch_300_300_Assembly-2/Pitch_Half_300_300-1;300_250_200_150_Arm_Assembly_Stowed-2/Pitch_300_300_Assembly-2/Bushing1-2;300_250_200_150_Arm_Assembly_Stowed-2/Pitch_300_300_Assembly-2/Bushing1-3,arm2_mount,j1_axis <300_250_200_150_Arm_Assembly_Stowed-2>,arm2_j1,revolute,0.127,0.1778,0,1.5707963267949,0,0,base_link,1,0,0,10,10,-3.14,3.14,,,,,,,,
arm2_link2,0.010971928880294,0.0206328931107901,0.0100112184839925,0,0,0,0.792615281561028,0.000766574618531905,0.00017791513660175,-0.000200979427837307,0.00092218971070779,0.000157045527656656,0.000788376809197515,0,0,0,0,0,0,package://CRAB_Model_Assembly3/meshes/arm2_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://CRAB_Model_Assembly3/meshes/arm2_link2.STL,,300_250_200_150_Arm_Assembly_Stowed-2/Pitch_300_250_Assembly-2;300_250_200_150_Arm_Assembly_Stowed-2/Pitch_300_250_Assembly-2/Pitch_Half_300_250-1;300_250_200_150_Arm_Assembly_Stowed-2/Pitch_300_250_Assembly-2/Bushing1-1;300_250_200_150_Arm_Assembly_Stowed-2/Pitch_300_250_Assembly-2/Bushing1-2,a2_j2,j2_axis <300_250_200_150_Arm_Assembly_Stowed-2>,arm2_j2,revolute,0.057944,-0.00079375,-0.0381,0,0,0,arm2_link1,0,-1,0,10,10,-3.14,0.174,,,,,,,,
